Date,Conversion Rate,ROAS%
2023-08-08 00:00:00,28.8%,14.521894647195852
2023-08-09 00:00:00,31.6%,14.559653346172366
2023-08-10 00:00:00,31.2%,13.64295199738761
2023-08-11 00:00:00,28.6%,11.363385534967124
2023-08-12 00:00:00,30.3%,13.827780675983636
2023-08-13 00:00:00,33.9%,19.74322634932083
2023-08-14 00:00:00,31.9%,12.022067540865814
2023-08-15 00:00:00,31.5%,17.692081932130847
2023-08-16 00:00:00,30.8%,14.614309045887993
2023-08-17 00:00:00,31.4%,15.064752667313282
2023-08-18 00:00:00,34.5%,14.38297927545163
2023-08-19 00:00:00,31.5%,13.091989759560818
2023-08-20 00:00:00,32.3%,11.068110910521685
2023-08-21 00:00:00,33.9%,13.158198018153053
2023-08-22 00:00:00,31.2%,17.530521179340962
2023-08-23 00:00:00,32.6%,15.164852962908231
2023-08-24 00:00:00,33.0%,12.670450656018257
2023-08-25 00:00:00,28.1%,14.989694634539076
2023-08-26 00:00:00,36.5%,16.477095229855223
2023-08-27 00:00:00,35.1%,16.513538591311683
2023-08-28 00:00:00,32.5%,12.102145425026093
2023-08-29 00:00:00,28.2%,12.454989532449407
2023-08-30 00:00:00,29.3%,12.16162574262475
2023-08-31 00:00:00,28.9%,13.544514476044068
2023-09-01 00:00:00,15.6%,8.083063219101817
2023-09-02 00:00:00,16.6%,9.093389016855747
2023-09-03 00:00:00,16.1%,9.565245799252931
2023-09-04 00:00:00,15.5%,7.705475782364595
2023-09-05 00:00:00,16.8%,9.935944847962574
2023-09-06 00:00:00,14.4%,8.437734346220092
2023-09-07 00:00:00,17.9%,8.374093970586536
2023-09-08 00:00:00,15.4%,7.314404465504778
2023-09-09 00:00:00,14.7%,8.70174788748698
2023-09-10 00:00:00,16.1%,10.49190327829564
2023-09-11 00:00:00,14.4%,9.394816876369061
2023-09-12 00:00:00,15.9%,7.313915296591025
2023-09-13 00:00:00,16.2%,6.957392166066864
2023-09-14 00:00:00,15.8%,9.115150947373351
2023-09-15 00:00:00,15.3%,9.2660475587449
2023-09-16 00:00:00,15.9%,9.07098234301941
2023-09-17 00:00:00,14.5%,9.162306918020157
2023-09-18 00:00:00,16.3%,8.890767214533911
2023-09-19 00:00:00,16.2%,8.348083398225429
2023-09-20 00:00:00,13.8%,8.926653502148913
2023-09-21 00:00:00,18.1%,9.190337160862434
2023-09-22 00:00:00,14.8%,8.262151505113216
2023-09-23 00:00:00,15.2%,8.66874074994049
2023-09-24 00:00:00,17.0%,8.730728934098607
2023-09-25 00:00:00,13.9%,6.796686211462075
2023-09-26 00:00:00,14.5%,9.192859344146283
2023-09-27 00:00:00,15.9%,9.080725987035946
2023-09-28 00:00:00,17.8%,9.577012057641406
2023-09-29 00:00:00,14.9%,9.948286739167566
2023-09-30 00:00:00,17.7%,10.190144443118058
2023-10-01 00:00:00,17.9%,9.342100950508028
2023-10-02 00:00:00,17.3%,8.154090133930026
2023-10-03 00:00:00,16.6%,9.269876230626465
2023-10-04 00:00:00,15.6%,9.220840165911062
2023-10-05 00:00:00,17.1%,7.948186922200179
2023-10-06 00:00:00,15.4%,9.060864853148367
2023-10-07 00:00:00,15.4%,10.10467848750267
2023-10-08 00:00:00,14.8%,6.863514578408196
2023-10-09 00:00:00,17.3%,9.419195415131552
2023-10-10 00:00:00,13.9%,8.460229263417789
2023-10-11 00:00:00,15.9%,9.787484896365832
2023-10-12 00:00:00,17.4%,8.249160548864031
2023-10-13 00:00:00,16.2%,7.878333211705466
2023-10-14 00:00:00,16.8%,7.785448986122138
2023-10-15 00:00:00,17.8%,9.696019379502642
2023-10-16 00:00:00,14.4%,8.198356367441251
2023-10-17 00:00:00,20.3%,11.022079662964382
2023-10-18 00:00:00,19.3%,10.607373226403455
2023-10-19 00:00:00,18.0%,9.42259745913189
2023-10-20 00:00:00,21.0%,12.036000285150774
2023-10-21 00:00:00,17.4%,10.241372081504775
2023-10-22 00:00:00,20.1%,9.646712476574479
2023-10-23 00:00:00,20.3%,13.564423012163417
2023-10-24 00:00:00,19.5%,11.188433722688966
2023-10-25 00:00:00,17.9%,8.891902115537292
2023-10-26 00:00:00,19.4%,10.665865523552643
2023-10-27 00:00:00,17.9%,10.46904622317251
2023-10-28 00:00:00,18.6%,9.179849512569007
2023-10-29 00:00:00,15.0%,9.88814105953262
2023-10-30 00:00:00,18.8%,10.758592345235035
2023-10-31 00:00:00,18.9%,10.015189753657294
2023-11-01 00:00:00,19.3%,10.317290076798951
2023-11-02 00:00:00,16.5%,8.57976906150042
2023-11-03 00:00:00,18.1%,9.456700186219738
2023-11-04 00:00:00,19.7%,9.480272483313838
2023-11-05 00:00:00,17.9%,12.14159916867144
2023-11-06 00:00:00,18.5%,9.507335923553502
2023-11-07 00:00:00,17.7%,7.752449276088371
2023-11-08 00:00:00,19.4%,10.42525125127783
2023-11-09 00:00:00,20.0%,10.347533840844001
2023-11-10 00:00:00,18.8%,10.01068139075083
2023-11-11 00:00:00,20.6%,11.413958418062387
2023-11-12 00:00:00,21.5%,15.193711477735182
2023-11-13 00:00:00,17.7%,10.396117321004029
2023-11-14 00:00:00,20.4%,10.983535275870297
2023-11-15 00:00:00,19.1%,9.918606817351113
2023-11-16 00:00:00,18.3%,12.01638260952245
2023-11-17 00:00:00,16.3%,9.261783568487138
2023-11-18 00:00:00,22.0%,9.383602646373387
2023-11-19 00:00:00,18.0%,8.850278563469614
2023-11-20 00:00:00,20.1%,9.882374112856969
2023-11-21 00:00:00,21.2%,10.685979444888916
2023-11-22 00:00:00,20.6%,9.46978653153876
2023-11-23 00:00:00,18.9%,10.344973472842325
2023-11-24 00:00:00,18.7%,9.62507194279458
2023-11-25 00:00:00,20.2%,10.591321584397537
2023-11-26 00:00:00,18.8%,8.057294878272616
2023-11-27 00:00:00,19.0%,11.102751958343797
2023-11-28 00:00:00,19.9%,10.189408375803232
2023-11-29 00:00:00,21.3%,13.415524674003269
2023-11-30 00:00:00,20.1%,8.471926914074041
